latent_idx,item_id,product_type
0,B00IIFW2L4,CHAIR
1,B071J7Q39G,CHAIR
2,B071W5V75T,CHAIR
3,B0723H8D37,CHAIR
4,B072PZSJ41,CHAIR
5,B072Q1BNCQ,CHAIR
6,B072Y2S76T,STOOL_SEATING
7,B072Y6Y96S,CHAIR
8,B0746KJVP2,CHAIR
9,B075DN73KR,CHAIR
10,B075QFCZ1Z,BENCH
11,B075X2WNYQ,CHAIR
12,B075X2X4MB,CHAIR
13,B075X4J15G,CHAIR
14,B075X4J16H,CHAIR
15,B075X4PTS8,CHAIR
16,B075X4PTSN,CHAIR
17,B075X52BMR,CHAIR
18,B075X543WV,CHAIR
19,B075YMJ254,CHAIR
20,B075YMJ25F,CHAIR
21,B075YN3HN9,CHAIR
22,B075YNJR62,STOOL_SEATING
23,B075YNTYTX,STOOL_SEATING
24,B075YP32X2,STOOL_SEATING
25,B075YP38V2,CHAIR
26,B075YP3BFD,STOOL_SEATING
27,B075YPTDT5,CHAIR
28,B075YQ478W,STOOL_SEATING
29,B075YQ8Q2K,CHAIR
30,B075YQXQJR,CHAIR
31,B075YV7TMR,CHAIR
32,B075ZBW1PX,CHAIR
33,B075ZCLPHP,STOOL_SEATING
34,B076HDDMKM,CHAIR
35,B07B4CXSF3,CHAIR
36,B07B4CZP32,CHAIR
37,B07B4FW792,CHAIR
38,B07B4FZKFK,CHAIR
39,B07B4GQ964,CHAIR
40,B07B4GVMDC,CHAIR
41,B07B4MD552,CHAIR
42,B07B4MH3WL,CHAIR
43,B07B4ML8YQ,CHAIR
44,B07B4MN127,CHAIR
45,B07B4MRKQG,CHAIR
46,B07B4MTFQR,CHAIR
47,B07B4MTFSC,CHAIR
48,B07B78LX2J,CHAIR
49,B07B78M186,CHAIR
50,B07B79WTSL,CHAIR
51,B07B7B3CVQ,STOOL_SEATING
52,B07B7B6W64,CHAIR
53,B07B7B94DP,CHAIR
54,B07B7B9FH8,CHAIR
55,B07B7BDFPR,CHAIR
56,B07B7BFP97,CHAIR
57,B07B7HFYKH,CHAIR
58,B07B7LL5LN,CHAIR
59,B07BW8PZ2P,CHAIR
60,B07BW8PZ2S,CHAIR
61,B07BWLC7ZR,CHAIR
62,B07BWMQQ3J,CHAIR
63,B07BWMSLWY,CHAIR
64,B07D4F6ZKH,CHAIR
65,B07DB92GSY,CHAIR
66,B07DB92GZG,CHAIR
67,B07DB92HYD,STOOL_SEATING
68,B07DBB77DV,CHAIR
69,B07DBDP9B1,CHAIR
70,B07DBDX48Q,CHAIR
71,B07DBDZ4SG,BENCH
72,B07DBFM8T7,STOOL_SEATING
73,B07DBFQF4K,STOOL_SEATING
74,B07DBFXZQT,STOOL_SEATING
75,B07DBG2663,CHAIR
76,B07DBGJ4XZ,CHAIR
77,B07DBGWFDZ,CHAIR
78,B07DBGXG5V,CHAIR
79,B07DBHC337,CHAIR
80,B07DBHC33K,STOOL_SEATING
81,B07DBHFDSQ,BENCH
82,B07DBHGZM8,CHAIR
83,B07DBJJ6Y6,CHAIR
84,B07FJWDWBV,CHAIR
85,B07GNCVKSG,STOOL_SEATING
86,B07H2MHYDQ,CHAIR
87,B07H37HWNR,CHAIR
88,B07HJFY5K8,CHAIR
89,B07HPDV35K,CHAIR
90,B07HSBJ5CH,STOOL_SEATING
91,B07HSBMWDB,STOOL_SEATING
92,B07HSBRV6W,CHAIR
93,B07HSDRZL6,STOOL_SEATING
94,B07HSDW7J6,CHAIR
95,B07HSDY12Q,CHAIR
96,B07HSF6Z8G,STOOL_SEATING
97,B07HSF8FXH,STOOL_SEATING
98,B07HSF9ZBC,CHAIR
99,B07HSHTMWW,STOOL_SEATING
100,B07HSHTN13,STOOL_SEATING
101,B07HSJJDWG,CHAIR
102,B07HSJSH2Q,CHAIR
103,B07HSLKKXG,STOOL_SEATING
104,B07HYYBHW1,CHAIR
105,B07HZ48ZRY,CHAIR
106,B07HZ48ZV7,CHAIR
107,B07HZ5P7N2,CHAIR
108,B07HZ5ZTYY,CHAIR
109,B07HZ6ZJFY,CHAIR
110,B07HZ73SBZ,CHAIR
111,B07J2R9TVF,CHAIR
112,B07J2W39LG,CHAIR
113,B07J4P8PSC,CHAIR
114,B07J55BBVV,CHAIR
115,B07JJYXVF7,CHAIR
116,B07JK8GF1X,CHAIR
117,B07JKQBXLX,CHAIR
118,B07JX8K4W4,CHAIR
119,B07K7NQR23,BENCH
120,B07K84GT56,CHAIR
121,B07L8DQQ4Q,STOOL_SEATING
122,B07L8FHTZ2,STOOL_SEATING
123,B07M7MMPYP,CHAIR
124,B07MBFDKXG,STOOL_SEATING
125,B07MBFDRY5,CHAIR
126,B07MF1SRG4,STOOL_SEATING
127,B07MF1SRGP,STOOL_SEATING
128,B07MF1SRM6,BENCH
129,B07ML7P8XS,CHAIR
130,B07N2Z2WQV,CHAIR
131,B07P6PBR3Q,CHAIR
132,B07P7NVGB4,CHAIR
133,B07P8STD74,CHAIR
134,B07PBZL51J,CHAIR
135,B07QBMQH3V,CHAIR
136,B07QBMQPJ2,CHAIR
137,B07QC84LP1,CHAIR
138,B07QCMB9K6,CHAIR
139,B07QCQ1J95,CHAIR
140,B07QDL57B8,CHAIR
141,B07QDNQMXL,CHAIR
142,B07QDNRBSX,STOOL_SEATING
143,B07QFP4T15,CHAIR
144,B07QFP4WFR,CHAIR
145,B07QFP4WL1,CHAIR
146,B07QFRRLG1,STOOL_SEATING
147,B07QFRS812,CHAIR
148,B07QFRSC8M,CHAIR
149,B07QGSZ564,CHAIR
150,B07QGWMY2B,STOOL_SEATING
151,B07QJ23JZG,CHAIR
152,B07QJCJ6ZF,CHAIR
153,B07QJWXMXZ,CHAIR
154,B07QJYKQ98,CHAIR
155,B07QK2JK4K,STOOL_SEATING
156,B07QM1QGTV,CHAIR
157,B07QR6V9SS,STOOL_SEATING
158,B07QSBZLW4,STOOL_SEATING
159,B07QTD9VPM,CHAIR
160,B07SPY6R7V,CHAIR
161,B07TF7XYXM,CHAIR
162,B07TF9MY62,CHAIR
163,B07TFFF6V4,CHAIR
164,B07THCD74D,CHAIR
165,B07THCJGT8,STOOL_SEATING
166,B07TJVTZNR,CHAIR
167,B07TLFBTNV,CHAIR
168,B07TVJ3NMN,STOOL_SEATING
169,B07TXPXV12,STOOL_SEATING
170,B07TYTPPX8,STOOL_SEATING
171,B07TYTQPYN,STOOL_SEATING
172,B07TZS99DS,STOOL_SEATING
173,B07VNL8XBK,CHAIR
174,B07VSTPCNF,CHAIR
175,B082BL8QJM,CHAIR
176,B082Q97X2R,CHAIR
177,B082QC5N35,CHAIR
178,B082QD9P8H,CHAIR
179,B082QDKRCP,CHAIR
180,B082SVGL8Y,CHAIR
181,B082VKXXN2,CHAIR
182,B082VLR43G,CHAIR
183,B082VLYP6B,CHAIR
184,B082VLZ7SC,CHAIR
185,B082VMMBJY,CHAIR
186,B0831X7B8V,CHAIR
187,B084T7P7HW,CHAIR
188,B084W24C7S,CHAIR
189,B084W2RH5S,CHAIR
190,B084W2RZQN,STOOL_SEATING
191,B084W32W2S,CHAIR
192,B084W368LX,CHAIR
193,B084W385Q5,STOOL_SEATING
194,B0853KPWHP,CHAIR
195,B0853KPWM7,STOOL_SEATING
196,B0853L9G5Z,STOOL_SEATING
197,B0853NR959,CHAIR
198,B0853VKX9H,CHAIR
199,B0853VPXF3,CHAIR
200,B0854SQFCY,CHAIR
201,B085565X2N,STOOL_SEATING
202,B08568W87M,CHAIR
203,B0857JZKYB,CHAIR
204,B085FGSHQH,CHAIR
205,B085FHBF21,CHAIR
206,B085GXHL6X,CHAIR
207,B085GXS8JG,CHAIR
208,B0861SRJ8T,STOOL_SEATING
