epoch,train_loss,val_loss,val_l1,val_l2,lr_model,lr_latent,elapsed_s
0,0.015128,0.007765,0.007714,0.000052,1.00e-04,1.00e-03,3.9
1,0.005831,0.005002,0.004943,0.000059,1.00e-04,1.00e-03,7.6
2,0.004640,0.004251,0.004188,0.000063,1.00e-04,1.00e-03,11.3
3,0.004125,0.004106,0.004040,0.000066,1.00e-04,1.00e-03,15.0
4,0.003774,0.003614,0.003545,0.000069,1.00e-04,1.00e-03,18.7
5,0.003543,0.003375,0.003304,0.000071,1.00e-04,1.00e-03,22.4
6,0.003298,0.003249,0.003176,0.000074,1.00e-04,1.00e-03,26.2
7,0.003179,0.002973,0.002897,0.000076,1.00e-04,1.00e-03,29.9
8,0.003029,0.002903,0.002825,0.000078,1.00e-04,1.00e-03,33.6
9,0.002899,0.002791,0.002711,0.000080,1.00e-04,1.00e-03,37.3
10,0.002823,0.002665,0.002583,0.000082,1.00e-04,1.00e-03,41.0
11,0.002726,0.002804,0.002720,0.000084,1.00e-04,1.00e-03,44.7
12,0.002629,0.002758,0.002672,0.000086,1.00e-04,1.00e-03,48.4
13,0.002573,0.002547,0.002459,0.000088,1.00e-04,1.00e-03,52.1
14,0.002490,0.002459,0.002370,0.000090,1.00e-04,1.00e-03,55.9
15,0.002434,0.002422,0.002331,0.000091,1.00e-04,1.00e-03,59.6
16,0.002388,0.002390,0.002297,0.000093,1.00e-04,1.00e-03,63.3
17,0.002354,0.002253,0.002159,0.000094,1.00e-04,1.00e-03,67.0
18,0.002289,0.002230,0.002134,0.000096,1.00e-04,1.00e-03,70.7
19,0.002253,0.002240,0.002143,0.000097,1.00e-04,1.00e-03,74.4
20,0.002209,0.002438,0.002340,0.000098,1.00e-04,1.00e-03,78.1
21,0.002166,0.002245,0.002145,0.000100,1.00e-04,1.00e-03,81.9
22,0.002142,0.002168,0.002067,0.000101,1.00e-04,1.00e-03,85.6
23,0.002110,0.002313,0.002211,0.000102,1.00e-04,1.00e-03,89.3
24,0.002072,0.002018,0.001915,0.000103,1.00e-04,1.00e-03,93.0
25,0.002047,0.002048,0.001944,0.000104,1.00e-04,1.00e-03,96.7
26,0.002008,0.002164,0.002059,0.000105,1.00e-04,1.00e-03,100.4
27,0.001986,0.002122,0.002016,0.000106,1.00e-04,1.00e-03,104.2
28,0.001963,0.002044,0.001937,0.000107,1.00e-04,1.00e-03,107.9
29,0.001944,0.001957,0.001849,0.000108,1.00e-04,1.00e-03,111.6
30,0.001927,0.001948,0.001839,0.000109,1.00e-04,1.00e-03,115.3
